Name,Indian rupee
3/5/1981,3756.33
3/6/1981,3814.74
3/9/1981,3847.16
3/10/1981,3938.59
3/11/1981,3885.51
3/12/1981,3895.66
3/13/1981,4043.22
3/16/1981,4041.78
3/17/1981,4077.69
3/18/1981,4166.05
3/19/1981,4059.98
3/20/1981,4209.54
3/23/1981,4381.81
3/24/1981,4355.65
3/25/1981,4391.73
3/26/1981,4424.8
3/27/1981,4543.97
3/30/1981,4350.26
3/31/1981,4240.49
4/1/1981,4269.62
4/2/1981,4291.26
4/3/1981,4351.25
4/6/1981,4433.2
4/7/1981,4330.66
4/8/1981,4168
4/9/1981,4214.21
4/10/1981,4061.77
4/13/1981,3910.33
4/14/1981,3993.05
4/15/1981,4009.37
4/16/1981,3967.8
4/17/1981,3967.8
4/20/1981,3967.8
4/21/1981,3986.41
4/22/1981,4061.62
4/23/1981,4029.48
4/24/1981,4063.67
4/27/1981,4019.8
4/28/1981,4020.41
4/29/1981,3975.74
4/30/1981,3998.47
5/1/1981,3996.96
5/4/1981,3996.96
5/5/1981,3964.91
5/6/1981,4010.74
5/7/1981,4003.7
5/8/1981,3999.87
5/11/1981,4166.26
5/12/1981,4077.58
5/13/1981,4106.38
5/14/1981,4061.17
5/15/1981,4078.85
5/18/1981,4023.78
5/19/1981,4091.23
5/20/1981,4035.01
5/21/1981,4079.85
5/22/1981,3956.26
5/25/1981,3956.26
5/26/1981,3976.45
5/27/1981,3980.62
5/28/1981,3990.8
5/29/1981,4046.47
6/1/1981,4080.15
6/2/1981,4063.6
6/3/1981,4103.82
6/4/1981,4083.71
6/5/1981,4022.99
6/8/1981,3971.97
6/9/1981,4030.41
6/10/1981,3978.85
6/11/1981,4014.26
6/12/1981,4020.01
6/15/1981,3986.1
6/16/1981,3974.81
6/17/1981,3930.35
6/18/1981,3946.38
6/19/1981,3922.58
6/22/1981,3930.19
6/23/1981,3962.81
6/24/1981,3983.51
6/25/1981,3963.86
6/26/1981,3847.1
6/29/1981,3779.51
6/30/1981,3703.76
7/1/1981,3723.05
7/2/1981,3620.99
7/3/1981,3641.41
7/6/1981,3513.77
7/7/1981,3550.72
7/8/1981,3552.97
7/9/1981,3610.1
7/10/1981,3666.83
7/13/1981,3695.38
7/14/1981,3596.07
7/15/1981,3590.94
7/16/1981,3697.87
7/17/1981,3651.76
7/20/1981,3684.25
7/21/1981,3666.3
7/22/1981,3635.38
7/23/1981,3687.24
7/24/1981,3628.48
7/27/1981,3655.48
7/28/1981,3585.42
7/29/1981,3597.97
7/30/1981,3596.81
7/31/1981,3655.12
8/3/1981,3581.66
8/4/1981,3597.02
8/5/1981,3563.7
8/6/1981,3607.37
8/7/1981,3651.11
8/10/1981,3608.87
8/11/1981,3640.97
8/12/1981,3671.53
8/13/1981,3688.93
8/14/1981,3716.02
8/17/1981,3669.21
8/18/1981,3799.36
8/19/1981,3891.89
8/20/1981,3831.98
8/21/1981,3784.78
8/24/1981,3838.07
8/25/1981,3714.8
8/26/1981,3694.87
8/27/1981,3728.43
8/28/1981,3820.06
8/31/1981,3820.06
9/1/1981,3818.28
